projectId,projectType,projectSkills
9811ac69-8a31-4318-a945-44ac1e3efc87,toDoList machineLearning dataEngineering foodPhotography businessPlan database data cinematography,ada c lua ruby r cobol haskell php projectManager
951a3a5d-d3ec-4cd7-a24e-4230d727c7c0,marketingStrategy,cobol
20e58441-b7bf-491e-988c-65b8cc5433f4,UI/UX database dataAnalysis illustration design mobileApplication machineLearning webSecurity,dart pascal objectiveC
60362ea5-1505-46b7-9f28-966ffdfe0c70,UI/UX videoGame discordBot database foodPhotography android marketAnalysis associationRuleMining dataArchitecture,adobeIllustrator haskell c++ c
c4134cbf-0209-4482-80b3-605c7e743ab1,fraudDetection database videoGame associationRuleMining bussinesRecommendations android,lua haskell groovy adobeIllustrator java visualBasic javascript
21261af6-4f9b-4cc9-841b-a85bf0b0e275,design videoEditing dataArchitecture maintenance dataCleaning,pascal unity abap
c208d974-6949-46cc-81de-f82e666d9974,riskAnalysis,c ada kotlin
1687f7e9-fa0a-4759-ad3e-8a28fdfbeefd,businessPlan database dataCleaning foodPhotography neuralNetwork associationRuleMining marketingStrategy dataArchitecture,perl groovy adobeIllustrator objectiveC
e4d315af-b31b-4e12-a790-1675003916fc,dataAnalysis dataVisualization,adobePremierePro haskell c++ php abap
1d88e93f-7300-4891-8bfe-e586a5a195f3,cinematography database fraudDetection ios,r ada
90dd95cf-b2a1-46c6-b053-dd2f422ca7a5,webSecurity design videoEditing neuralNetwork website newsletter,r c
dc6dc22b-e1da-455c-bdaf-6af3e9649761,cinematography toDoList dataCleaning data dataAnalysis database eCommerce,abap figma perl cobol scala javascript lua swift pascal
11ad8616-4305-43b6-9887-b1f3ba9e1d39,videoEditing ios newsletter foodPhotography dataCleaning associationRuleMining eCommerce,ada
32c3d41d-180e-45d7-9214-df63ec7c6534,UI/UX bussinesRecommendations android,ruby figma adobePhotoshop javascript java kotlin rust abap
d36860cc-c8f3-46a1-949f-70b63976ac32,videoGame illustration associationRuleMining website dataMining bussinesRecommendations businessPlan webSecurity machineLearning,visualBasic go matlab
c90556a8-d68b-4cbf-b986-8ae58e69fd61,dataEngineering eCommerce,rust adobeIllustrator php haskell objectiveC java r projectManager
24057c1f-4da8-46a6-b38d-3fd9a5634197,newsletter mobileApplication,cobol
2d4f71ac-673a-4c6b-9ab5-e33662cd3abd,toDoList discordBot machineLearning bussinesRecommendations UI/UX android eCommerce data marketingStrategy,rust ruby abap r typescript visualBasic pascal julia
a2008347-cb26-4398-ab88-250d6a434eab,eCommerce bussinesRecommendations dataCleaning ios dataArchitecture riskAnalysis UI/UX marketingStrategy discordBot,adobePremierePro
fc010031-21ba-45ac-8a67-41c09faa12d4,ios newsletter videoGame businessPlan,java adobePremierePro php c adobePhotoshop visualBasic objectiveC dart
30c22760-5b47-40a6-9bea-9452924d77b3,android toDoList dataAnalysis website newsletter artificialIntelligence UI/UX dataCleaning database,php go adobePhotoshop adobeIllustrator lua abap pascal ruby
167321ae-2357-4d5b-aca9-8350bf0d8197,dataCleaning fraudDetection website dataArchitecture design,typescript php cobol python
5d89352e-cdc0-4900-80e4-3a47598b0a39,marketingStrategy dataAnalysis toDoList cinematography,figma
31fea94e-0880-4210-b342-406ca89cb42c,website foodPhotography ios machineLearning artificialIntelligence dataVisualization dataCleaning fraudDetection neuralNetwork,adobePremierePro cobol perl java unity projectManager rust julia
a68b9191-35ec-4c75-8551-4a336a072e8c,discordBot android dataVisualization videoEditing UI/UX neuralNetwork,rust
3ec8acb9-828a-45bc-bb12-cd425088ce44,design android dataMining machineLearning riskAnalysis marketAnalysis,unity php go
52c8dc44-58fc-4412-a43c-ce787abdf120,database videoEditing neuralNetwork dataArchitecture maintenance,unity swift
a6e99b9d-fc60-4695-bfdb-625f565a34ef,data marketingStrategy,unity typescript objectiveC cobol projectManager matlab
8a2f1137-4849-43bf-a78d-7fdc88f2ebd9,dataAnalysis maintenance UI/UX webSecurity,julia figma pascal rust haskell r javascript adobeIllustrator
df9f0f94-e550-4af5-8215-651ba807b325,mobileApplication,cobol pascal ruby unity
285e6a7e-16eb-499c-b68c-ef349a44e758,videoEditing,swift
f71f6c42-ac77-4d6f-8654-5c1a3d5d8d6d,dataVisualization dataArchitecture businessPlan riskAnalysis associationRuleMining fraudDetection machineLearning,lua unity kotlin rust r perl projectManager cobol
ad7df66d-a1f5-4634-855a-7d6789c18c5e,illustration associationRuleMining dataEngineering machineLearning,objectiveC javascript pascal typescript haskell c++ php julia
